"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","N6","09-Apr-2018","      10500.00","      10625.00","      10625.00","      10625.00","      10625.00","      10625.00","      10625.00","          1","               10625.00","          1","          1","        100.00"
"SBIN","EQ","10-Apr-2018","        260.65","        261.10","        265.00","        258.50","        263.15","        263.30","        261.62","   21201141","          5546737416.55","     128190","    5747671","         27.11"
"SBIN","N2","10-Apr-2018","      10772.99","      10773.00","      10780.00","      10773.00","      10780.00","      10776.50","      10776.50","          2","               21553.00","          2","          2","        100.00"
"SBIN","N5","10-Apr-2018","      11002.21","      11040.00","      11050.00","      11020.00","      11022.00","      11022.00","      11027.95","        476","             5249305.44","         67","        476","        100.00"
"SBIN","N6","10-Apr-2018","      10625.00","      10949.00","      10949.00","      10949.00","      10949.00","      10949.00","      10949.00","          1","               10949.00","          1","          1","        100.00"
"SBIN","EQ","11-Apr-2018","        263.30","        263.00","        263.00","        256.30","        257.40","        257.05","        258.33","   14885838","          3845480565.95","      99011","    3275288","         22.00"
"SBIN","N2","11-Apr-2018","      10776.50","      10775.00","      10775.00","      10650.00","      10660.00","      10693.97","      10704.51","        137","             1466518.09","         15","        123","         89.78"
"SBIN","N5","11-Apr-2018","      11022.00","      11037.99","      11037.99","      11008.15","      11030.00","      11029.90","      11019.29","       1537","            16936645.60","         74","       1537","        100.00"
"SBIN","EQ","12-Apr-2018","        257.05","        257.50","        257.50","        252.25","        253.90","        253.80","        254.20","   18660913","          4743665844.95","     102493","    5895247","         31.59"
"SBIN","N2","12-Apr-2018","      10693.97","      10695.00","      10695.00","      10695.00","      10695.00","      10695.00","      10695.00","          4","               42780.00","          2","          4","        100.00"
"SBIN","N5","12-Apr-2018","      11029.90","      11030.00","      11050.00","      11021.00","      11040.00","      11038.77","      11036.78","        525","             5794308.20","        113","        506","         96.38"
"SBIN","EQ","13-Apr-2018","        253.80","        254.00","        255.95","        249.70","        250.80","        250.95","        252.57","   25654020","          6479417245.20","     123494","    9468922","         36.91"
"SBIN","N2","13-Apr-2018","      10695.00","      10765.00","      10765.00","      10681.00","      10700.00","      10699.99","      10718.04","         71","              760980.92","         15","         50","         70.42"
"SBIN","N5","13-Apr-2018","      11038.77","      11025.00","      11065.00","      11025.00","      11046.00","      11050.15","      11051.21","        472","             5216169.85","         62","        452","         95.76"
"SBIN","N6","13-Apr-2018","      10949.00","      10700.00","      10899.94","      10700.00","      10899.94","      10773.10","      10744.91","         33","              354582.00","          8","         18","         54.55"
"SBIN","EQ","16-Apr-2018","        250.95","        249.35","        251.30","        247.10","        249.00","        249.00","        249.11","   16408377","          4087502696.65","      91738","    5294767","         32.27"
"SBIN","N2","16-Apr-2018","      10699.99","      11240.00","      11240.00","      10626.00","      10652.00","      10652.00","      10854.57","         37","              401618.99","         10","         14","         37.84"
"SBIN","N5","16-Apr-2018","      11050.15","      11045.00","      11085.00","      11045.00","      11065.00","      11064.51","      11069.98","        275","             3044244.83","         34","        275","        100.00"
"SBIN","EQ","17-Apr-2018","        249.00","        251.40","        252.50","        246.60","        248.15","        248.15","        249.50","   15922452","          3972609555.40","     101479","    2950065","         18.53"
"SBIN","N2","17-Apr-2018","      10652.00","      10650.60","      10767.99","      10649.99","      10767.99","      10767.99","      10661.02","         22","              234542.52","          5","         20","         90.91"
"SBIN","N5","17-Apr-2018","      11064.51","      11066.00","      11200.00","      11066.00","      11200.00","      11166.18","      11102.83","        486","             5395974.31","         53","        486","        100.00"
"SBIN","EQ","18-Apr-2018","        248.15","        249.50","        249.90","        245.30","        247.00","        246.45","        247.67","   16142387","          3997987081.70","     137163","    4858565","         30.10"
"SBIN","N2","18-Apr-2018","      10767.99","      10760.00","      10769.88","      10760.00","      10769.88","      10769.88","      10763.29","          3","               32289.88","          2","          3","        100.00"
"SBIN","N5","18-Apr-2018","      11166.18","      11149.00","      11200.00","      11072.00","      11072.00","      11123.69","      11163.32","        836","             9332536.48","         80","        809","         96.77"
"SBIN","N6","18-Apr-2018","      10773.10","      10890.00","      10890.00","      10890.00","      10890.00","      10890.00","      10890.00","          9","               98010.00","          1","          9","        100.00"
"SBIN","EQ","19-Apr-2018","        246.45","        247.10","        248.45","        245.20","        246.70","        246.15","        246.67","   13166927","          3247907090.10","      79014","    4303771","         32.69"
"SBIN","N2","19-Apr-2018","      10769.88","      10630.00","      10630.00","      10630.00","      10630.00","      10630.00","      10630.00","          4","               42520.00","          2","          4","        100.00"
"SBIN","N5","19-Apr-2018","      11123.69","      11198.00","      11198.00","      10725.00","      10749.99","      10743.56","      10849.17","       5482","            59475173.11","        430","       5201","         94.87"
"SBIN","N6","19-Apr-2018","      10890.00","      10948.00","      10948.00","      10625.00","      10625.00","      10627.42","      10731.51","         77","              826326.25","         13","         77","        100.00"
"SBIN","EQ","20-Apr-2018","        246.15","        245.85","        245.85","        239.50","        241.85","        241.20","        241.56","   15546939","          3755498694.95","     115151","    4192843","         26.97"
"SBIN","N2","20-Apr-2018","      10630.00","      10779.90","      10779.98","      10650.00","      10700.00","      10699.99","      10743.62","         49","              526437.44","         14","         43","         87.76"
"SBIN","N5","20-Apr-2018","      10743.56","      10750.00","      10844.00","      10712.30","      10805.60","      10802.85","      10744.83","       3413","            36672088.08","        297","       3050","         89.36"
"SBIN","EQ","23-Apr-2018","        241.20","        241.90","        244.85","        239.30","        242.40","        242.45","        242.55","   12111837","          2937773831.95","      75286","    1777265","         14.67"
"SBIN","N2","23-Apr-2018","      10699.99","      10779.99","      10779.99","      10705.00","      10749.00","      10749.49","      10719.45","        186","             1993817.80","         24","        137","         73.66"
"SBIN","N5","23-Apr-2018","      10802.85","      10805.60","      10865.00","      10780.00","      10839.00","      10840.91","      10827.48","        884","             9571489.23","         96","        841","         95.14"
"SBIN","EQ","24-Apr-2018","        242.45","        242.00","        243.40","        239.60","        240.70","        240.60","        241.32","    9486349","          2289252617.70","      69116","    2576677","         27.16"
"SBIN","N2","24-Apr-2018","      10749.49","      10749.99","      10750.00","      10749.99","      10750.00","      10750.00","      10750.00","         25","              268749.98","          4","         25","        100.00"
"SBIN","N5","24-Apr-2018","      10840.91","      10846.00","      10846.00","      10806.00","      10810.00","      10817.09","      10821.80","       1298","            14046695.02","        190","       1096","         84.44"
"SBIN","EQ","25-Apr-2018","        240.60","        239.70","        240.75","        236.75","        237.50","        237.20","        238.78","   13124853","          3134016872.90","      83988","    4613328","         35.15"
"SBIN","N2","25-Apr-2018","      10750.00","      10780.00","      10780.00","      10515.05","      10515.05","      10515.05","      10576.13","         26","              274979.30","          6","         26","        100.00"
"SBIN","N5","25-Apr-2018","      10817.09","      10865.00","      10865.00","      10785.00","      10809.00","      10803.70","      10805.64","       2351","            25404068.19","        205","       1939","         82.48"
"SBIN","EQ","26-Apr-2018","        237.20","        238.40","        238.80","        232.50","        233.25","        233.20","        234.73","   24495144","          5749736201.90","     151982","   13423891","         54.80"
"SBIN","N2","26-Apr-2018","      10515.05","      10650.01","      10690.00","      10650.00","      10690.00","      10690.00","      10657.28","         11","              117230.04","          4","          7","         63.64"
"SBIN","N5","26-Apr-2018","      10803.70","      10850.00","      10850.00","      10801.15","      10845.00","      10835.86","      10826.44","        736","             7968257.76","         52","        731","         99.32"
"SBIN","EQ","27-Apr-2018","        233.20","        233.25","        245.80","        233.25","        243.20","        242.60","        242.46","   31401889","          7613775143.95","     203123","    9874140","         31.44"
"SBIN","N2","27-Apr-2018","      10690.00","      10605.02","      10841.00","      10605.02","      10839.00","      10833.28","      10795.47","         63","              680114.74","         22","         53","         84.13"
"SBIN","N5","27-Apr-2018","      10835.86","      10820.00","      10879.90","      10820.00","      10855.05","      10855.89","      10863.86","        531","             5768707.45","         65","        365","         68.74"
"SBIN","EQ","30-Apr-2018","        242.60","        244.80","        249.70","        244.50","        246.05","        246.40","        247.11","   17263193","          4265822592.05","     102753","    2700671","         15.64"
"SBIN","N5","30-Apr-2018","      10855.89","      10878.00","      10924.90","      10870.00","      10901.00","      10907.61","      10890.55","        417","             4541360.99","         66","        287","         68.82"
"SBIN","N6","30-Apr-2018","      10627.42","      10700.00","      10725.00","      10700.00","      10725.00","      10725.00","      10702.27","         11","              117725.00","          4","         11","        100.00"
"SBIN","EQ","02-May-2018","        246.40","        245.90","        246.30","        239.75","        241.20","        241.00","        242.08","   12887066","          3119704302.30","      96574","    4227660","         32.81"
"SBIN","N2","02-May-2018","      10833.28","      10750.00","      10835.00","      10750.00","      10835.00","      10834.99","      10768.96","         26","              279992.99","          9","         25","         96.15"
"SBIN","N5","02-May-2018","      10907.61","      10880.00","      10914.90","      10880.00","      10912.99","      10910.76","      10904.88","        538","             5866823.23","         78","        410","         76.21"
"SBIN","EQ","03-May-2018","        241.00","        240.95","        243.40","        238.75","        241.60","        241.90","        241.21","   12939642","          3121136580.75","      82594","    2019303","         15.61"
"SBIN","N2","03-May-2018","      10834.99","      10825.00","      10840.00","      10602.00","      10602.00","      10602.00","      10786.97","        124","             1337584.51","         14","        120","         96.77"
"SBIN","N5","03-May-2018","      10910.76","      10880.00","      10920.00","      10677.05","      10786.90","      10772.32","      10745.63","       5078","            54566309.36","        433","       3671","         72.29"
"SBIN","EQ","04-May-2018","        241.90","        243.50","        243.90","        240.35","        241.75","        241.95","        242.15","   12777310","          3094082509.50","      69129","    3625601","         28.38"
"SBIN","N2","04-May-2018","      10602.00","      10825.05","      10825.05","      10650.00","      10650.00","      10650.00","      10695.88","        165","             1764820.73","         31","        145","         87.88"
"SBIN","N5","04-May-2018","      10772.32","      10801.00","      10843.00","      10791.00","      10791.00","      10811.02","      10812.76","        936","            10120743.18","        124","        813","         86.86"
"SBIN","EQ","07-May-2018","        241.95","        242.45","        248.20","        242.05","        247.20","        246.50","        245.59","   15122614","          3713934995.70","      93517","    4383629","         28.99"
"SBIN","N2","07-May-2018","      10650.00","      10700.00","      10700.00","      10700.00","      10700.00","      10700.00","      10700.00","         51","              545700.00","          3","         51","        100.00"
"SBIN","N5","07-May-2018","      10811.02","      10815.00","      10844.00","      10799.99","      10819.00","      10818.69","      10817.75","       1642","            17762747.98","        157","       1478","         90.01"
"SBIN","N6","07-May-2018","      10725.00","      11250.00","      11250.00","      10570.00","      10578.99","      10579.74","      10586.50","         86","              910439.15","         35","         75","         87.21"
"SBIN","EQ","08-May-2018","        246.50","        248.00","        252.60","        244.60","        250.30","        250.05","        249.25","   23293920","          5806000775.85","     138529","    7027660","         30.17"
"SBIN","N2","08-May-2018","      10700.00","      10699.00","      11240.00","      10520.00","      10582.20","      10598.04","      10702.77","        184","             1969310.30","         31","         60","         32.61"
"SBIN","N5","08-May-2018","      10818.69","      10822.64","      10822.64","      10800.00","      10800.10","      10808.43","      10812.63","       1534","            16586580.75","        112","       1407","         91.72"
"SBIN","N6","08-May-2018","      10579.74","      10630.00","      10630.00","      10576.00","      10576.00","      10603.22","      10588.05","         64","              677635.00","         12","         64","        100.00"
"SBIN","EQ","09-May-2018","        250.05","        249.80","        249.80","        246.30","        248.10","        248.00","        247.83","   11429823","          2832630206.00","      66742","    2768055","         24.22"
"SBIN","N5","09-May-2018","      10808.43","      10800.10","      10825.00","      10790.00","      10807.00","      10805.50","      10811.39","        849","             9178870.44","         89","        633","         74.56"
"SBIN","N6","09-May-2018","      10603.22","      10630.00","      10630.00","      10630.00","      10630.00","      10630.00","      10630.00","         20","              212600.00","          1","         20","        100.00"
"SBIN","EQ","10-May-2018","        248.00","        248.25","        250.20","        246.30","        247.10","        247.95","        247.98","   13160967","          3263722258.10","      72818","    3796691","         28.85"
